T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000   3.00000 119.18890  35.00080   0.27464   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.85154825 1.6370E-22 0.0000E+00 0.0000E+00 2.2416E-08 2.2416E-08 0.0000E+00 0.0000E+00 2.2416E-08 4.92E-06 6.90E-06   0.161 1.0000 6.9214E-06    747.329
 9101.00 0.87458324 1.3569E-22 0.0000E+00 0.0000E+00 2.2374E-08 2.2374E-08 0.0000E+00 0.0000E+00 2.2374E-08 5.00E-06 6.73E-06   0.134 1.0000 6.7529E-06    747.928
 9111.00 0.89685357 1.0589E-22 0.0000E+00 0.0000E+00 2.2991E-08 2.2991E-08 0.0000E+00 0.0000E+00 2.2991E-08 5.30E-06 6.75E-06   0.109 1.0000 6.7702E-06    749.776
 9121.00 0.89525449 1.0048E-22 0.0000E+00 0.0000E+00 2.2979E-08 2.2979E-08 0.0000E+00 0.0000E+00 2.2979E-08 5.27E-06 6.74E-06   0.111 1.0000 6.7570E-06    750.434
 9131.00 0.89076692 1.0043E-22 0.0000E+00 0.0000E+00 2.2808E-08 2.2808E-08 0.0000E+00 0.0000E+00 2.2808E-08 5.19E-06 6.70E-06   0.116 1.0000 6.7175E-06    750.795
 9141.00 0.91580111 7.3508E-23 0.0000E+00 0.0000E+00 2.2452E-08 2.2452E-08 0.0000E+00 0.0000E+00 2.2452E-08 5.24E-06 6.43E-06   0.088 1.0000 6.4440E-06    750.801
 9151.00 0.88842475 8.9563E-23 0.0000E+00 0.0000E+00 2.3409E-08 2.3409E-08 0.0000E+00 0.0000E+00 2.3409E-08 5.31E-06 6.84E-06   0.118 1.0000 6.8615E-06    753.277
 9161.00 0.93415457 4.9120E-23 0.0000E+00 0.0000E+00 2.4728E-08 2.4728E-08 0.0000E+00 0.0000E+00 2.4728E-08 5.90E-06 6.91E-06   0.068 1.0000 6.9345E-06    756.330
 9171.00 0.90552044 6.9052E-23 0.0000E+00 0.0000E+00 2.4347E-08 2.4347E-08 0.0000E+00 0.0000E+00 2.4347E-08 5.60E-06 6.97E-06   0.099 1.0000 6.9883E-06    756.340
 9181.00 0.91983509 5.6398E-23 0.0000E+00 0.0000E+00 2.4314E-08 2.4314E-08 0.0000E+00 0.0000E+00 2.4314E-08 5.65E-06 6.85E-06   0.084 1.0000 6.8738E-06    756.963
 9191.00 0.93329108 4.3698E-23 0.0000E+00 0.0000E+00 2.4616E-08 2.4616E-08 0.0000E+00 0.0000E+00 2.4616E-08 5.80E-06 6.83E-06   0.069 1.0000 6.8531E-06    758.183
 9201.00 0.91437727 5.3416E-23 0.0000E+00 0.0000E+00 2.4017E-08 2.4017E-08 0.0000E+00 0.0000E+00 2.4017E-08 5.53E-06 6.76E-06   0.090 1.0000 6.7792E-06    757.796
 9211.00 0.91559243 5.0104E-23 0.0000E+00 0.0000E+00 2.5002E-08 2.5002E-08 0.0000E+00 0.0000E+00 2.5002E-08 5.75E-06 7.01E-06   0.088 1.0000 7.0277E-06    760.226
 9221.00 0.92708939 4.1458E-23 0.0000E+00 0.0000E+00 2.5100E-08 2.5100E-08 0.0000E+00 0.0000E+00 2.5100E-08 5.82E-06 6.95E-06   0.076 1.0000 6.9689E-06    761.081
 9231.00 0.92430115 4.0817E-23 0.0000E+00 0.0000E+00 2.4489E-08 2.4489E-08 0.0000E+00 0.0000E+00 2.4489E-08 5.65E-06 6.77E-06   0.079 1.0000 6.7955E-06    760.689
 9241.00 0.93534923 3.2363E-23 0.0000E+00 0.0000E+00 2.4761E-08 2.4761E-08 0.0000E+00 0.0000E+00 2.4761E-08 5.77E-06 6.76E-06   0.067 1.0000 6.7842E-06    761.853
 9251.00 0.92599905 3.6000E-23 0.0000E+00 0.0000E+00 2.5053E-08 2.5053E-08 0.0000E+00 0.0000E+00 2.5053E-08 5.76E-06 6.88E-06   0.077 1.0000 6.9007E-06    763.047
 9261.00 0.93037486 3.1858E-23 0.0000E+00 0.0000E+00 2.5559E-08 2.5559E-08 0.0000E+00 0.0000E+00 2.5559E-08 5.89E-06 6.97E-06   0.072 1.0000 6.9947E-06    764.607
 9271.00 0.93821359 2.6271E-23 0.0000E+00 0.0000E+00 2.5361E-08 2.5361E-08 0.0000E+00 0.0000E+00 2.5361E-08 5.88E-06 6.86E-06   0.064 1.0000 6.8762E-06    764.949
 9281.00 0.92475253 3.1598E-23 0.0000E+00 0.0000E+00 2.5692E-08 2.5692E-08 0.0000E+00 0.0000E+00 2.5692E-08 5.84E-06 7.01E-06   0.078 1.0000 7.0330E-06    766.202
 9291.00 0.93846619 2.3314E-23 0.0000E+00 0.0000E+00 2.6002E-08 2.6002E-08 0.0000E+00 0.0000E+00 2.6002E-08 6.00E-06 6.99E-06   0.064 1.0000 7.0135E-06    767.414
 9301.00 0.93167990 2.5021E-23 0.0000E+00 0.0000E+00 2.5355E-08 2.5355E-08 0.0000E+00 0.0000E+00 2.5355E-08 5.79E-06 6.84E-06   0.071 1.0000 6.8637E-06    766.988
 9311.00 0.93411577 2.2551E-23 0.0000E+00 0.0000E+00 2.5915E-08 2.5915E-08 0.0000E+00 0.0000E+00 2.5915E-08 5.92E-06 6.96E-06   0.068 1.0000 6.9849E-06    768.634
 9321.00 0.93255502 2.1804E-23 0.0000E+00 0.0000E+00 2.5554E-08 2.5554E-08 0.0000E+00 0.0000E+00 2.5554E-08 5.80E-06 6.86E-06   0.070 1.0000 6.8861E-06    768.697
 9331.00 0.93210369 2.0568E-23 0.0000E+00 0.0000E+00 2.6049E-08 2.6049E-08 0.0000E+00 0.0000E+00 2.6049E-08 5.90E-06 6.99E-06   0.070 1.0000 7.0103E-06    770.228
 9341.00 0.93066931 1.9674E-23 0.0000E+00 0.0000E+00 2.5942E-08 2.5942E-08 0.0000E+00 0.0000E+00 2.5942E-08 5.85E-06 6.96E-06   0.072 1.0000 6.9794E-06    770.729
 9351.00 0.92686629 1.9691E-23 0.0000E+00 0.0000E+00 2.4873E-08 2.4873E-08 0.0000E+00 0.0000E+00 2.4873E-08 5.57E-06 6.68E-06   0.076 1.0000 6.7060E-06    769.555
 9361.00 0.92586386 1.8320E-23 0.0000E+00 0.0000E+00 2.5625E-08 2.5625E-08 0.0000E+00 0.0000E+00 2.5625E-08 5.72E-06 6.89E-06   0.077 1.0000 6.9146E-06    771.552
 9371.00 0.92456067 1.7740E-23 0.0000E+00 0.0000E+00 2.5997E-08 2.5997E-08 0.0000E+00 0.0000E+00 2.5997E-08 5.78E-06 6.98E-06   0.078 1.0000 7.0062E-06    772.872
