T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   3.00000 134.45293  10.00060   0.06416   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.01456   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.89392656 1.2528E-22 0.0000E+00 0.0000E+00 1.3896E-08 1.3896E-08 0.0000E+00 0.0000E+00 1.3896E-08 5.12E-06 6.83E-06   0.112 1.0000 6.9214E-06    727.455
 9101.00 0.91325009 1.0086E-22 0.0000E+00 0.0000E+00 1.3885E-08 1.3885E-08 0.0000E+00 0.0000E+00 1.3885E-08 5.20E-06 6.67E-06   0.091 1.0000 6.7529E-06    728.089
 9111.00 0.92993844 7.8040E-23 0.0000E+00 0.0000E+00 1.4272E-08 1.4272E-08 0.0000E+00 0.0000E+00 1.4272E-08 5.47E-06 6.69E-06   0.073 1.0000 6.7702E-06    729.871
 9121.00 0.92859668 7.4312E-23 0.0000E+00 0.0000E+00 1.4262E-08 1.4262E-08 0.0000E+00 0.0000E+00 1.4262E-08 5.45E-06 6.68E-06   0.074 1.0000 6.7570E-06    730.510
 9131.00 0.92529571 7.4447E-23 0.0000E+00 0.0000E+00 1.4155E-08 1.4155E-08 0.0000E+00 0.0000E+00 1.4155E-08 5.36E-06 6.64E-06   0.078 1.0000 6.7175E-06    730.870
 9141.00 0.94426620 5.3214E-23 0.0000E+00 0.0000E+00 1.3941E-08 1.3941E-08 0.0000E+00 0.0000E+00 1.3941E-08 5.40E-06 6.37E-06   0.057 1.0000 6.4440E-06    730.917
 9151.00 0.92196602 6.7754E-23 0.0000E+00 0.0000E+00 1.4519E-08 1.4519E-08 0.0000E+00 0.0000E+00 1.4519E-08 5.49E-06 6.77E-06   0.081 1.0000 6.8615E-06    733.237
 9161.00 0.95735168 3.5316E-23 0.0000E+00 0.0000E+00 1.5353E-08 1.5353E-08 0.0000E+00 0.0000E+00 1.5353E-08 6.04E-06 6.85E-06   0.044 1.0000 6.9345E-06    736.196
 9171.00 0.93584108 5.1355E-23 0.0000E+00 0.0000E+00 1.5108E-08 1.5108E-08 0.0000E+00 0.0000E+00 1.5108E-08 5.77E-06 6.90E-06   0.066 1.0000 6.9883E-06    736.202
