T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000   5.00000  90.04015  10.00086   0.08987   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00337   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.88131040 5.8454E-23 0.0000E+00 0.0000E+00 1.5233E-08 1.5233E-08 0.0000E+00 0.0000E+00 1.5233E-08 5.94E-06 6.67E-06   0.126 1.0000 6.9214E-06    731.190
 9101.00 0.90248495 4.5751E-23 0.0000E+00 0.0000E+00 1.5165E-08 1.5165E-08 0.0000E+00 0.0000E+00 1.5165E-08 5.94E-06 6.56E-06   0.103 1.0000 6.7529E-06    731.676
 9111.00 0.92204815 3.4920E-23 0.0000E+00 0.0000E+00 1.5483E-08 1.5483E-08 0.0000E+00 0.0000E+00 1.5483E-08 6.11E-06 6.61E-06   0.081 1.0000 6.7702E-06    733.196
 9121.00 0.92049843 3.3455E-23 0.0000E+00 0.0000E+00 1.5478E-08 1.5478E-08 0.0000E+00 0.0000E+00 1.5478E-08 6.08E-06 6.59E-06   0.083 1.0000 6.7570E-06    733.850
 9131.00 0.91659260 3.3630E-23 0.0000E+00 0.0000E+00 1.5384E-08 1.5384E-08 0.0000E+00 0.0000E+00 1.5384E-08 6.02E-06 6.55E-06   0.087 1.0000 6.7175E-06    734.271
 9141.00 0.93876815 2.3517E-23 0.0000E+00 0.0000E+00 1.5052E-08 1.5052E-08 0.0000E+00 0.0000E+00 1.5052E-08 5.93E-06 6.31E-06   0.063 1.0000 6.4440E-06    734.044
 9151.00 0.91394323 3.1294E-23 0.0000E+00 0.0000E+00 1.5757E-08 1.5757E-08 0.0000E+00 0.0000E+00 1.5757E-08 6.13E-06 6.67E-06   0.090 1.0000 6.8615E-06    736.594
 9161.00 0.95448464 1.5780E-23 0.0000E+00 0.0000E+00 1.6480E-08 1.6480E-08 0.0000E+00 0.0000E+00 1.6480E-08 6.51E-06 6.82E-06   0.047 1.0000 6.9345E-06    739.119
 9171.00 0.92928642 2.3229E-23 0.0000E+00 0.0000E+00 1.6340E-08 1.6340E-08 0.0000E+00 0.0000E+00 1.6340E-08 6.36E-06 6.83E-06   0.073 1.0000 6.9883E-06    739.436
 9181.00 0.94226813 1.8072E-23 0.0000E+00 0.0000E+00 1.6282E-08 1.6282E-08 0.0000E+00 0.0000E+00 1.6282E-08 6.36E-06 6.74E-06   0.059 1.0000 6.8738E-06    739.960
 9191.00 0.95407426 1.3635E-23 0.0000E+00 0.0000E+00 1.6426E-08 1.6426E-08 0.0000E+00 0.0000E+00 1.6426E-08 6.43E-06 6.74E-06   0.047 1.0000 6.8531E-06    740.997
 9201.00 0.93727446 1.7633E-23 0.0000E+00 0.0000E+00 1.6083E-08 1.6083E-08 0.0000E+00 0.0000E+00 1.6083E-08 6.23E-06 6.63E-06   0.065 1.0000 6.7792E-06    740.792
 9211.00 0.93828326 1.6674E-23 0.0000E+00 0.0000E+00 1.6735E-08 1.6735E-08 0.0000E+00 0.0000E+00 1.6735E-08 6.47E-06 6.88E-06   0.064 1.0000 7.0277E-06    743.113
 9221.00 0.94881308 1.3033E-23 0.0000E+00 0.0000E+00 1.6781E-08 1.6781E-08 0.0000E+00 0.0000E+00 1.6781E-08 6.50E-06 6.84E-06   0.053 1.0000 6.9689E-06    743.900
 9231.00 0.94623429 1.3101E-23 0.0000E+00 0.0000E+00 1.6371E-08 1.6371E-08 0.0000E+00 0.0000E+00 1.6371E-08 6.31E-06 6.67E-06   0.055 1.0000 6.7955E-06    743.540
 9241.00 0.95601958 1.0118E-23 0.0000E+00 0.0000E+00 1.6515E-08 1.6515E-08 0.0000E+00 0.0000E+00 1.6515E-08 6.38E-06 6.67E-06   0.045 1.0000 6.7842E-06    744.575
 9251.00 0.94793916 1.1412E-23 0.0000E+00 0.0000E+00 1.6747E-08 1.6747E-08 0.0000E+00 0.0000E+00 1.6747E-08 6.43E-06 6.77E-06   0.053 1.0000 6.9007E-06    745.827
 9261.00 0.95177698 1.0090E-23 0.0000E+00 0.0000E+00 1.7067E-08 1.7067E-08 0.0000E+00 0.0000E+00 1.7067E-08 6.54E-06 6.87E-06   0.049 1.0000 6.9947E-06    747.291
 9271.00 0.95875764 8.1672E-24 0.0000E+00 0.0000E+00 1.6912E-08 1.6912E-08 0.0000E+00 0.0000E+00 1.6912E-08 6.48E-06 6.76E-06   0.042 1.0000 6.8762E-06    747.579
 9281.00 0.94722432 9.9510E-24 0.0000E+00 0.0000E+00 1.7201E-08 1.7201E-08 0.0000E+00 0.0000E+00 1.7201E-08 6.54E-06 6.90E-06   0.054 1.0000 7.0330E-06    748.960
 9291.00 0.95916355 7.3189E-24 0.0000E+00 0.0000E+00 1.7349E-08 1.7349E-08 0.0000E+00 0.0000E+00 1.7349E-08 6.62E-06 6.90E-06   0.042 1.0000 7.0135E-06    749.992
 9301.00 0.95346230 7.9068E-24 0.0000E+00 0.0000E+00 1.6954E-08 1.6954E-08 0.0000E+00 0.0000E+00 1.6954E-08 6.43E-06 6.74E-06   0.048 1.0000 6.8637E-06    749.694
 9311.00 0.95571852 7.1861E-24 0.0000E+00 0.0000E+00 1.7327E-08 1.7327E-08 0.0000E+00 0.0000E+00 1.7327E-08 6.56E-06 6.86E-06   0.045 1.0000 6.9849E-06    751.281
 9321.00 0.95464176 6.9741E-24 0.0000E+00 0.0000E+00 1.7112E-08 1.7112E-08 0.0000E+00 0.0000E+00 1.7112E-08 6.45E-06 6.76E-06   0.046 1.0000 6.8861E-06    751.425
 9331.00 0.95450985 6.6605E-24 0.0000E+00 0.0000E+00 1.7461E-08 1.7461E-08 0.0000E+00 0.0000E+00 1.7461E-08 6.57E-06 6.88E-06   0.047 1.0000 7.0103E-06    752.948
 9341.00 0.95354015 6.4569E-24 0.0000E+00 0.0000E+00 1.7413E-08 1.7413E-08 0.0000E+00 0.0000E+00 1.7413E-08 6.53E-06 6.84E-06   0.048 1.0000 6.9794E-06    753.504
 9351.00 0.95063382 6.5290E-24 0.0000E+00 0.0000E+00 1.6735E-08 1.6735E-08 0.0000E+00 0.0000E+00 1.6735E-08 6.25E-06 6.57E-06   0.051 1.0000 6.7060E-06    752.498
 9361.00 0.95040923 6.2308E-24 0.0000E+00 0.0000E+00 1.7284E-08 1.7284E-08 0.0000E+00 0.0000E+00 1.7284E-08 6.43E-06 6.77E-06   0.051 1.0000 6.9146E-06    754.530
