T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000  15.00000  90.02133   5.00016   0.04486   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00735   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99883282 4.8242E-30 0.0000E+00 0.0000E+00 5.4420E-10 5.4420E-10 0.0000E+00 0.0000E+00 5.4420E-10 6.87E-06 6.88E-06   0.001 1.0000 6.9214E-06    616.383
 9101.00 0.99883944 4.5031E-30 0.0000E+00 0.0000E+00 5.3285E-10 5.3285E-10 0.0000E+00 0.0000E+00 5.3285E-10 6.70E-06 6.71E-06   0.001 1.0000 6.7529E-06    616.353
 9111.00 0.99883825 4.2305E-30 0.0000E+00 0.0000E+00 5.3616E-10 5.3616E-10 0.0000E+00 0.0000E+00 5.3616E-10 6.72E-06 6.73E-06   0.001 1.0000 6.7702E-06    617.114
 9121.00 0.99883169 3.9923E-30 0.0000E+00 0.0000E+00 5.3702E-10 5.3702E-10 0.0000E+00 0.0000E+00 5.3702E-10 6.71E-06 6.72E-06   0.001 1.0000 6.7570E-06    617.743
 9131.00 0.99882179 3.7793E-30 0.0000E+00 0.0000E+00 5.3576E-10 5.3576E-10 0.0000E+00 0.0000E+00 5.3576E-10 6.67E-06 6.68E-06   0.001 1.0000 6.7175E-06    618.256
 9141.00 0.99882483 3.5383E-30 0.0000E+00 0.0000E+00 5.1581E-10 5.1581E-10 0.0000E+00 0.0000E+00 5.1581E-10 6.40E-06 6.40E-06   0.001 1.0000 6.4440E-06    617.734
 9151.00 0.99880582 3.3736E-30 0.0000E+00 0.0000E+00 5.5115E-10 5.5115E-10 0.0000E+00 0.0000E+00 5.5115E-10 6.81E-06 6.82E-06   0.001 1.0000 6.8615E-06    620.245
 9161.00 0.99881572 3.1409E-30 0.0000E+00 0.0000E+00 5.5901E-10 5.5901E-10 0.0000E+00 0.0000E+00 5.5901E-10 6.88E-06 6.89E-06   0.001 1.0000 6.9345E-06    621.242
 9171.00 0.99880290 2.9794E-30 0.0000E+00 0.0000E+00 5.6530E-10 5.6530E-10 0.0000E+00 0.0000E+00 5.6530E-10 6.94E-06 6.95E-06   0.001 1.0000 6.9883E-06    622.152
 9181.00 0.99880201 2.7982E-30 0.0000E+00 0.0000E+00 5.5801E-10 5.5801E-10 0.0000E+00 0.0000E+00 5.5801E-10 6.82E-06 6.83E-06   0.001 1.0000 6.8738E-06    622.353
 9191.00 0.99879813 2.6346E-30 0.0000E+00 0.0000E+00 5.5830E-10 5.5830E-10 0.0000E+00 0.0000E+00 5.5830E-10 6.80E-06 6.81E-06   0.001 1.0000 6.8531E-06    622.951
 9201.00 0.99878478 2.4998E-30 0.0000E+00 0.0000E+00 5.5425E-10 5.5425E-10 0.0000E+00 0.0000E+00 5.5425E-10 6.73E-06 6.74E-06   0.001 1.0000 6.7792E-06    623.319
 9211.00 0.99877667 2.3627E-30 0.0000E+00 0.0000E+00 5.7658E-10 5.7658E-10 0.0000E+00 0.0000E+00 5.7658E-10 6.97E-06 6.98E-06   0.001 1.0000 7.0277E-06    625.063
 9221.00 0.99877262 2.2242E-30 0.0000E+00 0.0000E+00 5.7378E-10 5.7378E-10 0.0000E+00 0.0000E+00 5.7378E-10 6.92E-06 6.93E-06   0.001 1.0000 6.9689E-06    625.502
 9231.00 0.99876159 2.1064E-30 0.0000E+00 0.0000E+00 5.6145E-10 5.6145E-10 0.0000E+00 0.0000E+00 5.6145E-10 6.74E-06 6.75E-06   0.001 1.0000 6.7955E-06    625.444
 9241.00 0.99875271 1.9909E-30 0.0000E+00 0.0000E+00 5.6251E-10 5.6251E-10 0.0000E+00 0.0000E+00 5.6251E-10 6.73E-06 6.74E-06   0.001 1.0000 6.7842E-06    626.081
