T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000   5.00000  90.04015  10.00086   0.08987   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.02525   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.88129640 5.8461E-23 0.0000E+00 0.0000E+00 1.4498E-08 1.4498E-08 0.0000E+00 0.0000E+00 1.4498E-08 5.67E-06 6.31E-06   0.126 1.0000 6.9214E-06    729.173
 9101.00 0.90247059 4.5758E-23 0.0000E+00 0.0000E+00 1.4505E-08 1.4505E-08 0.0000E+00 0.0000E+00 1.4505E-08 5.69E-06 6.25E-06   0.103 1.0000 6.7529E-06    729.862
 9111.00 0.92203349 3.4926E-23 0.0000E+00 0.0000E+00 1.4906E-08 1.4906E-08 0.0000E+00 0.0000E+00 1.4906E-08 5.89E-06 6.35E-06   0.081 1.0000 6.7702E-06    731.642
 9121.00 0.92048359 3.3461E-23 0.0000E+00 0.0000E+00 1.4893E-08 1.4893E-08 0.0000E+00 0.0000E+00 1.4893E-08 5.86E-06 6.33E-06   0.083 1.0000 6.7570E-06    732.272
 9131.00 0.91657799 3.3635E-23 0.0000E+00 0.0000E+00 1.4782E-08 1.4782E-08 0.0000E+00 0.0000E+00 1.4782E-08 5.79E-06 6.27E-06   0.087 1.0000 6.7175E-06    732.636
 9141.00 0.93875307 2.3523E-23 0.0000E+00 0.0000E+00 1.4563E-08 1.4563E-08 0.0000E+00 0.0000E+00 1.4563E-08 5.74E-06 6.10E-06   0.063 1.0000 6.4440E-06    732.693
 9151.00 0.91392851 3.1299E-23 0.0000E+00 0.0000E+00 1.5148E-08 1.5148E-08 0.0000E+00 0.0000E+00 1.5148E-08 5.91E-06 6.38E-06   0.090 1.0000 6.8615E-06    734.975
 9161.00 0.95446932 1.5785E-23 0.0000E+00 0.0000E+00 1.6029E-08 1.6029E-08 0.0000E+00 0.0000E+00 1.6029E-08 6.33E-06 6.62E-06   0.047 1.0000 6.9345E-06    737.971
 9171.00 0.92927128 2.3234E-23 0.0000E+00 0.0000E+00 1.5767E-08 1.5767E-08 0.0000E+00 0.0000E+00 1.5767E-08 6.15E-06 6.57E-06   0.073 1.0000 6.9883E-06    737.960
 9181.00 0.94225287 1.8077E-23 0.0000E+00 0.0000E+00 1.5765E-08 1.5765E-08 0.0000E+00 0.0000E+00 1.5765E-08 6.16E-06 6.52E-06   0.059 1.0000 6.8738E-06    738.626
 9191.00 0.95405871 1.3639E-23 0.0000E+00 0.0000E+00 1.5964E-08 1.5964E-08 0.0000E+00 0.0000E+00 1.5964E-08 6.25E-06 6.54E-06   0.047 1.0000 6.8531E-06    739.813
 9201.00 0.93725914 1.7637E-23 0.0000E+00 0.0000E+00 1.5560E-08 1.5560E-08 0.0000E+00 0.0000E+00 1.5560E-08 6.04E-06 6.40E-06   0.065 1.0000 6.7792E-06    739.423
 9211.00 0.93826789 1.6679E-23 0.0000E+00 0.0000E+00 1.6195E-08 1.6195E-08 0.0000E+00 0.0000E+00 1.6195E-08 6.27E-06 6.64E-06   0.064 1.0000 7.0277E-06    741.750
 9221.00 0.94879764 1.3037E-23 0.0000E+00 0.0000E+00 1.6278E-08 1.6278E-08 0.0000E+00 0.0000E+00 1.6278E-08 6.30E-06 6.63E-06   0.053 1.0000 6.9689E-06    742.631
 9231.00 0.94621873 1.3105E-23 0.0000E+00 0.0000E+00 1.5870E-08 1.5870E-08 0.0000E+00 0.0000E+00 1.5870E-08 6.12E-06 6.45E-06   0.055 1.0000 6.7955E-06    742.246
 9241.00 0.95600384 1.0121E-23 0.0000E+00 0.0000E+00 1.6053E-08 1.6053E-08 0.0000E+00 0.0000E+00 1.6053E-08 6.20E-06 6.48E-06   0.045 1.0000 6.7842E-06    743.394
 9251.00 0.94792342 1.1416E-23 0.0000E+00 0.0000E+00 1.6239E-08 1.6239E-08 0.0000E+00 0.0000E+00 1.6239E-08 6.23E-06 6.56E-06   0.053 1.0000 6.9007E-06    744.542
 9261.00 0.95176125 1.0093E-23 0.0000E+00 0.0000E+00 1.6566E-08 1.6566E-08 0.0000E+00 0.0000E+00 1.6566E-08 6.35E-06 6.66E-06   0.049 1.0000 6.9947E-06    746.044
 9271.00 0.95874178 8.1703E-24 0.0000E+00 0.0000E+00 1.6444E-08 1.6444E-08 0.0000E+00 0.0000E+00 1.6444E-08 6.30E-06 6.57E-06   0.042 1.0000 6.8762E-06    746.405
 9281.00 0.94720852 9.9539E-24 0.0000E+00 0.0000E+00 1.6661E-08 1.6661E-08 0.0000E+00 0.0000E+00 1.6661E-08 6.33E-06 6.68E-06   0.054 1.0000 7.0330E-06    747.623
 9291.00 0.95914739 7.3217E-24 0.0000E+00 0.0000E+00 1.6861E-08 1.6861E-08 0.0000E+00 0.0000E+00 1.6861E-08 6.43E-06 6.70E-06   0.042 1.0000 7.0135E-06    748.794
 9301.00 0.95344627 7.9095E-24 0.0000E+00 0.0000E+00 1.6444E-08 1.6444E-08 0.0000E+00 0.0000E+00 1.6444E-08 6.23E-06 6.53E-06   0.048 1.0000 6.8637E-06    748.413
 9311.00 0.95570236 7.1887E-24 0.0000E+00 0.0000E+00 1.6809E-08 1.6809E-08 0.0000E+00 0.0000E+00 1.6809E-08 6.36E-06 6.65E-06   0.045 1.0000 6.9849E-06    750.004
 9321.00 0.95462573 6.9766E-24 0.0000E+00 0.0000E+00 1.6582E-08 1.6582E-08 0.0000E+00 0.0000E+00 1.6582E-08 6.25E-06 6.55E-06   0.046 1.0000 6.8861E-06    750.104
 9331.00 0.95449400 6.6629E-24 0.0000E+00 0.0000E+00 1.6908E-08 1.6908E-08 0.0000E+00 0.0000E+00 1.6908E-08 6.36E-06 6.66E-06   0.047 1.0000 7.0103E-06    751.590
 9341.00 0.95352399 6.4591E-24 0.0000E+00 0.0000E+00 1.6843E-08 1.6843E-08 0.0000E+00 0.0000E+00 1.6843E-08 6.31E-06 6.62E-06   0.048 1.0000 6.9794E-06    752.098
 9351.00 0.95061773 6.5312E-24 0.0000E+00 0.0000E+00 1.6156E-08 1.6156E-08 0.0000E+00 0.0000E+00 1.6156E-08 6.03E-06 6.34E-06   0.051 1.0000 6.7060E-06    751.019
 9361.00 0.95039314 6.2328E-24 0.0000E+00 0.0000E+00 1.6656E-08 1.6656E-08 0.0000E+00 0.0000E+00 1.6656E-08 6.19E-06 6.52E-06   0.051 1.0000 6.9146E-06    752.968
