band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band,sky_radiance_band,path_scattering_radiance_band,solar_irradiance_band,unit_radiance,unit_irradiance,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,10,15,15,1,45,0.9033987858,0.8511959858,2.777271908e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng1_vis10_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng1_vis10_aerRural_humdefault;MWIR_solar_obs15_tar15_rng1_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,20,20,1,45,0.9292626589,0.8875213712,2.498149219e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng1_vis10_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng1_vis10_aerRural_humdefault;MWIR_solar_obs20_tar20_rng1_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,1,45,0.7204652336,0.57325377,2.562301659e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,5,5,1,45,0.7894240366,0.668494358,1.169257557e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng1_vis23_aerRural_humdefault;MWIR_solar_obs5_tar5_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,10,10,1,45,0.8659416997,0.7952563752,1.430167181e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng1_vis23_aerRural_humdefault;MWIR_solar_obs10_tar10_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,15,15,1,45,0.9033987858,0.8511959858,2.777271908e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng1_vis23_aerRural_humdefault;MWIR_solar_obs15_tar15_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,20,20,1,45,0.9292626589,0.8875213712,2.498149219e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng1_vis23_aerRural_humdefault;MWIR_solar_obs20_tar20_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,1,45,0.7206900403,0.5734693103,2.561044619e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,5,1,45,0.7894240366,0.668494358,1.169257545e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng1_vis50_aerRural_humdefault;MWIR_solar_obs5_tar5_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,10,10,1,45,0.8659416997,0.7952563752,1.430167181e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng1_vis50_aerRural_humdefault;MWIR_solar_obs10_tar10_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,15,15,1,45,0.9033987858,0.8511959858,2.777271908e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng1_vis50_aerRural_humdefault;MWIR_solar_obs15_tar15_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,20,20,1,45,0.9292626589,0.8875213712,2.498149219e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng1_vis50_aerRural_humdefault;MWIR_solar_obs20_tar20_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,2,45,0.6960838391,0.57325377,7.838221829e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,5,2,45,0.7824045258,0.668494358,3.953775488e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng2_vis2_aerRural_humdefault;MWIR_solar_obs5_tar5_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,10,10,2,45,0.8405946656,0.7952563752,1.749869611e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng2_vis2_aerRural_humdefault;MWIR_solar_obs10_tar10_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,15,15,2,45,0.8873698217,0.8511959858,3.370226288e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng2_vis2_aerRural_humdefault;MWIR_solar_obs15_tar15_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,20,20,2,45,0.9158979563,0.8875213712,3.077394608e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng2_vis2_aerRural_humdefault;MWIR_solar_obs20_tar20_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,2,45,0.6954136838,0.57325377,1.991593335e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,2,45,0.6960838391,0.57325377,7.838221829e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,5,2,45,0.7824045258,0.668494358,3.953775488e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng2_vis5_aerRural_humdefault;MWIR_solar_obs5_tar5_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,10,10,2,45,0.8405946656,0.7952563752,1.749869611e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng2_vis5_aerRural_humdefault;MWIR_solar_obs10_tar10_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,15,15,2,45,0.8873698217,0.8511959858,3.370226288e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng2_vis5_aerRural_humdefault;MWIR_solar_obs15_tar15_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,20,20,2,45,0.9158979563,0.8875213712,3.077394608e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng2_vis5_aerRural_humdefault;MWIR_solar_obs20_tar20_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,3,2,45,0.6954136838,0.57325377,1.991593335e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,2,45,0.6960838391,0.57325377,7.838221829e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,5,5,2,45,0.7824045258,0.668494358,3.953775488e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng2_vis10_aerRural_humdefault;MWIR_solar_obs5_tar5_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,10,10,2,45,0.8405946656,0.7952563752,1.749869611e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng2_vis10_aerRural_humdefault;MWIR_solar_obs10_tar10_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,15,15,2,45,0.8873698217,0.8511959858,3.370226288e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng2_vis10_aerRural_humdefault;MWIR_solar_obs15_tar15_rng2_vis10_aerRural_humdefault_sza45
